"fips","gini_cnty","income_cnty","black_cnty","pop_cnty","perc_bush"
6081,46.9,8.4426,3.19924,70.1886,29.7016
6083,47.5,5.935,1.90212,40.2025,44.4439
6085,44.9,8.5569,2.56745,172.938,35.1328
6087,47.2,6.4349,0.972561,25.1398,25.3988
6089,45.6,4.4755,0.995055,17.9387,68.3903
6091,37.8,5.375,0.740741,0.324,68.8675
6093,45.2,3.7938,1.38726,4.4404,61.3728
6095,40.3,6.792,14.3883,40.6461,41.6196
6097,44.2,6.3848,1.53053,46.4218,31.6722
6099,43.5,5.1529,2.9141,50.5165,58.8463
6101,42.4,5.2155,1.84391,9.0731,67.7364
6103,45.5,3.6949,0.867972,6.0601,67.2935
6105,43.9,3.5551,0.495618,1.3922,55.9461
6107,44.5,4.3164,1.497,41.6299,66.8946
6109,45,4.8354,2.36545,5.5761,60.9481
6111,43.3,7.4828,1.99252,79.2313,51.3295
6113,45.9,5.6232,2.377,19.2974,39.1724
6115,41.9,4.641,2.07599,7.0906,68.0887
8001,39.4,5.5258,3.08627,41.9439,48.6897
8003,48.6,3.2362,0.390803,1.5353,50.9998
8005,46.2,5.8968,9.39913,54.4157,51.9444
8007,54,5.4909,0.736196,1.2225,54.2924
8009,45.5,3.3504,0.571874,0.3847,77.2392
8011,43.1,3.5647,5.48303,0.6128,62.7395
8013,48,6.504,0.894344,29.5524,31.5845
8014,38.8,7.624,0.661851,5.2882,NA
8015,46.7,4.2808,1.51749,1.687,55.8179
8017,37.5,4.6313,0,0.1622,81.8512
8019,40.3,6.2823,0.0112537,0.8886,45.5923
8021,41.7,3.3141,0.286747,0.8021,49.2958
8023,50.1,2.3041,0.365631,0.3282,31.9696
8025,41.8,3.5494,7.98606,0.6311,67.519
8027,42.8,4.4713,0,0.3598,68.7866
8029,39.5,4.0658,0.665503,3.0353,69.1368
8031,50.5,4.5438,9.92708,58.2447,29.5599
8033,35.1,4.1961,0,0.1771,69.6539
8035,37.2,9.9522,1.49192,26.9451,66.7767
8037,45.4,6.9139,0.12052,5.0614,46.4921
8039,40.5,7.4345,0.908453,2.2786,72.4572
8041,42.6,5.657,6.23416,58.6446,67.2258
8043,45.6,3.7852,4.5703,4.7393,66.9786
8045,37.7,6.4837,0.705397,5.2878,54.2618
8047,40,5.5455,1.81572,0.5177,42.0917
8049,36.4,5.8981,0.354244,1.355,56.4582
8051,44.3,4.4577,0.281426,1.4924,41.716
8053,41.4,5.375,0,0.0554,59.8651
8055,48.4,3.1136,2.17814,0.7713,50.1358
8057,45,3.2788,0,0.1305,76.6739
8059,42,6.5891,1.23888,52.9025,52.3675
8061,38.2,4.2422,0,0.1644,80.1865
8063,37.8,4.0754,2.68831,0.8072,78.1488
8065,40.1,3.9147,0.199377,0.8025,43.2993
8067,43.4,5.3713,0.720641,4.9678,46.2757
8069,45,5.4755,0.770442,28.6978,52.3246
8071,44.6,3.7587,0.796762,1.5814,48.9289
8073,46.1,3.9572,5.65752,0.5285,78.1945
8075,41,3.9992,2.46783,2.0828,70.9231
8077,43.6,5.0611,0.672329,13.7879,67.5003
8079,62.1,5.2153,0,0.1077,62.0521
8081,36.6,5.3723,0,1.3555,74.951
8083,43.9,4.3697,0,2.5,63.9088
8085,43.3,4.4922,0.358751,3.9303,69.6801
8087,39.6,4.3317,0.720232,2.763,68.6386
8089,44.6,3.2149,0.658419,1.8833,60.6959
8091,40.3,5.8836,0,0.4519,52.1493
8093,36.3,6.0186,0.458661,1.6788,57.7715
8095,44.7,3.983,0.424202,0.4479,74.1849
8097,58.6,6.2318,0.0522398,1.5314,30.2131
8099,43.5,3.5166,0.333182,1.3206,71.7437
8101,45,4.0805,1.78592,15.3814,46.6516
8103,37.4,5.4812,0.0485201,0.6183,80.4208
8105,45.1,3.9683,0.195861,1.1743,62.8661
8107,39.5,6.4046,0.536769,2.2356,44.5617
8109,52.2,2.9523,0.27421,0.6929,41.845
8111,32.9,4.4336,0,0.0686,45.0939
8113,52.7,6.0457,0.203114,0.7385,27.0407
8115,42.5,3.7792,0,0.2378,71.6339
8117,38.7,6.7329,0.582946,2.6246,39.5098
8119,37.3,5.6686,0.320126,2.1554,69.0054
8121,40.9,3.8818,0,0.4647,81.3785
8123,41.9,5.5795,0.60401,24.1221,63.2227
8125,42.6,3.9945,0.0934579,0.963,76.3381
9001,53.8,8.1114,10.1928,89.2843,47.2972
9003,45.6,6.2829,12.3989,87.4409,39.5581
9005,42.9,6.9561,1.10078,18.8411,51.8944
9007,41.5,7.4965,4.47489,16.4004,42.3923
9009,45.3,6.1234,11.8908,84.3532,43.8698
9011,41.5,6.512,5.58864,26.6183,42.189
9013,38.9,7.6498,2.87222,14.8526,43.5016
9015,39.3,5.7427,1.63409,11.6579,45.6915
10001,40.6,5.2016,21.8447,15.1332,56.5796
10003,43.7,6.316,22.6313,52.7774,38.6996
10005,43.1,5.0537,13.1238,18.4726,60.606
11001,54,5.6519,55.1687,58.8433,9.30799
12001,52.4,3.9345,19.341,23.899,43.0827
12003,39.6,4.6315,12.7718,2.5478,77.8471
12005,42.4,4.624,11.3361,16.3451,71.3696
12007,42.2,4.0519,20.3287,2.8841,69.7737
12009,43.9,4.9114,9.55609,53.2697,57.8522
12011,46.9,5.1731,24.433,175.913,34.8209
12013,45.1,2.9642,18.122,1.3525,63.7007
12015,43.7,4.4639,5.03964,15.6043,56.0745
12017,43.8,3.7807,2.82424,13.8161,57.0582
12019,38.9,6.0352,9.51015,17.985,76.3548
12021,52,5.8133,5.78098,31.3165,65.3283
12023,42.6,3.9078,17.0067,6.7397,67.3055
12027,43.1,3.7226,11.8171,3.489,69.0391
12029,40.9,3.1426,6.79054,1.48,57.9125
12031,44.5,4.9135,29.1397,84.6385,65.6797
12033,45.2,4.3148,21.6142,30.3292,51.1423
12035,41.8,4.7573,9.78008,8.5623,58.7578
12037,51.3,3.8436,11.6658,1.0998,29.8672
12039,47,3.5423,54.5318,4.6725,70.6674
12041,43.5,4.1048,4.7761,1.6771,58.487
12043,46.5,3.926,8.89792,1.107,66.2887
12045,42.8,3.8574,18.8622,1.5714,55.0908
12047,46.9,3.5632,35.1771,1.4228,69.7678
12049,38.6,3.8865,8.11951,2.8684,59.0965
12051,42,3.7354,13.7601,3.9244,53.0542
12053,42,4.2457,5.18162,16.6338,62.4855
12055,41.7,3.3902,9.46612,9.7738,53.1791
12057,46.4,4.9594,16.1075,116.712,77.5841
12059,40.1,3.3868,5.38683,1.9065,60.349
12061,51.7,4.655,8.30431,13.1811,61.3697
12063,42.8,3.6442,26.2022,4.9618,44.215
12065,44.2,4.4011,33.0295,1.3933,74.1858
12067,36.8,4.6551,5.76369,0.7981,60.3471
12069,42.9,4.4837,8.70637,29.7828,60.1292
12071,46.8,5.0362,7.44846,57.3676,37.9647
12073,49.2,4.2889,31.1494,26.1023,62.782
12075,42.9,3.5294,9.57593,3.8555,63.9987
12077,45.3,3.9583,10.9333,0.7811,50.6457
12079,42,3.6682,38.1737,1.8924,56.7617
12081,45.6,4.7935,8.44507,31.3011,58.3936
12083,44,4.0306,11.4994,31.8886,57.4585
12085,51.1,5.2734,5.85124,13.8791,46.7729
12086,49.9,4.2969,19.6346,245.704,NA
12087,50.5,5.4946,5.74003,7.4024,49.4035
12089,41.6,5.7907,8.06449,6.7977,73.1115
12091,42.3,5.3741,9.56315,18.0955,77.9267
12093,45.6,3.8643,7.93269,3.9936,57.4117
12095,45,5.0352,19.4924,106.234,49.7456
12097,40.4,4.6315,10.2379,25.4739,52.5675
12099,50.5,5.3538,15.8066,126.86,39.1557
12101,43.1,4.369,3.88207,45.3933,54.4957
12103,46.8,4.4838,10.0265,91.5003,49.7639
12105,43.1,4.4043,13.6005,56.6657,58.7369
12107,46.1,3.3711,16.6567,7.325,59.3355
12109,48,6.363,6.05678,17.4994,68.8356
12111,42,4.6656,16.9065,25.5984,47.6574
12113,40.7,5.425,4.84922,14.7302,77.6868
12115,48.1,4.9013,4.5291,36.7446,53.8578
12117,43.9,5.8313,10.4778,40.8694,58.2469
12119,41.8,4.101,12.3673,7.1519,62.5889
12121,43.3,3.4157,10.5283,3.9256,70.7723
12123,43.8,3.59,21.4496,2.0723,63.8551
12125,39.1,4.0694,22.252,1.4574,72.8287
12127,45.1,4.3326,9.90537,49.4449,48.9713
12129,39.7,5.2353,12.6488,3.0232,57.8242
12131,48,4.6159,6.53366,5.2528,73.4896
12133,44.5,3.509,13.4757,2.2997,71.3055
13001,42.7,3.3537,18.8574,1.7871,70.8609
13003,45.9,3.3548,17.6514,0.8124,67.5862
13005,45,3.1661,17.9664,1.0464,75.4163
13007,49.3,3.0403,57.874,0.381,46.7274
13009,45.4,3.8273,43.2954,4.6252,53.2215
13011,42.9,4.1039,3.63681,1.6388,79.3308
13013,40.7,4.8285,11.2176,6.6458,76.7852
13015,43.1,5.0075,9.65077,9.249,74.2435
13017,45.5,3.0078,33.9721,1.7535,60.4428
13019,44.6,3.2029,11.7937,1.6814,70.5098
13021,49.2,3.8207,49.7304,15.5034,48.9633
13023,48.4,3.7542,28.0753,1.2584,71.2005
13025,42.2,3.9569,5.72465,1.5442,77.4955
13027,46.4,4.084,36.5474,1.6324,57.0052
13029,40.9,6.3858,13.7965,3.0109,73.9018
13031,48.9,3.4723,28.6095,6.6366,64.1872
13033,45.7,3.1482,50.524,2.2807,50.1125
13035,37.2,5.276,27.6106,2.3596,66.5756
13037,45.3,2.7723,59.5943,0.6113,44.3227
13039,39.8,4.8967,19.2158,4.7003,67.1702
13043,42.7,3.5951,21.2717,1.038,65.1399
13045,42.7,4.4693,17.1654,11.0641,70.8619
13047,40.7,4.5295,2.1474,6.2075,73.8596
13049,41.4,3.9734,28.8037,1.07,68.4647
13051,47.8,4.4464,40.4393,24.8078,49.0948
13053,38.4,4.8035,25.6823,1.4364,53.8507
13055,41.4,3.155,10.9505,2.6492,64.0103
13057,40.2,6.6248,5.48419,20.1233,79.7374
13059,53.6,3.3364,26.0185,11.3112,40.9317
13061,46.1,2.6769,70.3105,0.3156,38.9441
13063,38.4,4.4308,60.5208,27.1652,28.1952
13065,42.4,3.241,31.1965,0.7004,66.6815
13067,43.8,6.6515,22.6001,69.043,62.546
13069,46.5,3.3119,26.9491,4.0198,67.6166
13071,46.1,3.1707,22.7522,4.4633,71.0639
